site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Fortlauderdale,FTL,20250721,100,11,4,5,-0.5382934926655257,-1.949059356621238,16.33269088,-0.4745978164418169,0.07256452203722807,0.20312633135710453,0.020118285559856612
Fortlauderdale,FTL,20250721,100,12,5,5,-0.5551655083280805,-1.1497227013727,17.94381995,-0.46861884919486796,-0.16919552393417048,0.3313159534356505,-0.019306622127331113
Fortlauderdale,FTL,20250721,100,13,1,4,-0.5775929965139048,-1.2228691950070998,17.28895989,-0.4694256475579053,-0.17109632798096533,0.2881471960794274,-0.018275629947598085
Fortlauderdale,FTL,20250721,100,14,2,2,-0.4673675219240195,-0.8089426469698069,18.58797941,-0.45018427361029223,0.06274642333897278,0.22087835273548342,0.024815035613931842
Fortlauderdale,FTL,20250721,100,15,3,4,-0.5877926738899698,-1.320394678864975,17.79918866,-0.5182506406477274,0.043702060266157444,0.3382940101575443,0.015057911099699093
Fortlauderdale,FTL,20250721,100,16,2,5,-0.6724781813030842,-0.70265089177229,19.21719952,-0.379308872886096,-0.053056061706324084,0.2796638140222831,0.008139887434301149
Fortlauderdale,FTL,20250721,100,17,1,3,-0.584772856167981,-1.7812557448292194,16.17231212,-0.43231821611686355,-0.10021572012588109,0.21590341320804912,-0.0062233263882853895
Fortlauderdale,FTL,20250721,100,18,2,8,-0.5502609423095628,-0.8738333638918375,20.00839949,-0.4381077578213449,0.15734347388681774,0.3818133399256683,0.03730848178832931
Fortlauderdale,FTL,20250721,100,19,2,3,-0.5463854333346588,-0.7474265901785988,19.31990765,-0.48973915772748267,-0.1642504401220148,0.19452727420921698,-0.011810895787282734
Fortlauderdale,FTL,20250721,100,20,6,7,-0.5790034409345293,-0.6650844774711386,19.12004331,-0.5184393289152258,0.038131495821728305,0.34233876078806835,0.014453909128086166
Fortlauderdale,FTL,20250721,100,21,5,4,-0.6596878911066405,-1.6668968213926676,16.57285996,-0.4684009566432186,-0.03191026425214608,-0.2709846463677746,-0.014784394719945878
Fortlauderdale,FTL,20250721,100,22,2,4,-0.5656054502248198,-1.8030429507947077,16.26747053,-0.5005018345322205,-0.3534045033005702,-1.074074213367039,-0.01434012292945183
Fortlauderdale,FTL,20250721,100,23,2,3,-0.6802849487179993,-0.7946629723146129,17.99855091,-0.438998754238096,-0.12737812873627047,0.2207449709626276,-0.019723229162502257
Fortlauderdale,FTL,20250721,100,24,4,6,-0.6024150042276225,-1.1431624247126817,16.91310325,-0.39005479310618707,0.0037117926252494913,0.23272037266969314,-0.013143568923519004
Southcanyon,SC,20231020,25,1,2,5,-0.4945719648790186,0.1809214200433617,22.0685464,-0.2424158097551698,-0.056239589697141705,0.055312619370927706,-0.03433000662012706
Southcanyon,SC,20231020,25,2,3,6,-0.46083328424727343,0.3066487273310279,21.04925108,-0.34295142225102354,-0.19798356683951415,0.0933816289005536,-0.3769795499340504
Southcanyon,SC,20231020,25,3,1,4,-0.08715064849806574,0.30258426496683705,21.77653996,-0.32079330244616494,0.1512328238507347,0.2582645069008166,0.12915390487266784
Southcanyon,SC,20231020,25,4,0.5,2,-0.2696856308577457,-0.04355873656864584,19.53640613,-0.3923267781108226,1.7069505254420074,0.18661267842726437,1.214968526599956
Southcanyon,SC,20231020,25,5,2,3,-0.43178411653593224,1.3091665154415009,22.79572694,0.09988315081043748,-0.9281272409401592,0.6427362124844671,-0.44076423477096527
Southcanyon,SC,20231020,25,6,1,1.5,-0.5275985058160513,0.5717827147787268,22.18719772,-0.2089446563462851,-2.2050468388721156,0.7047892704802099,-2.8571554452103087
Southcanyon,SC,20231020,25,7,2,2,0.3599188907633567,0.7715844101638027,21.83249902,-0.262913257679937,-0.2465545639526194,0.31176410420061634,-0.12781184620827032
Southcanyon,SC,20231020,25,8,4,6,-0.15818657078837642,-0.28529901986454725,21.27569141,-0.3566222917621844,0.9710138717938612,0.08409991059865982,0.6207082469770843
Southcanyon,SC,20231020,25,9,3,5,-0.43230358264148283,1.2229557193948293,23.44059374,0.25970275785736635,0.34181269213362475,-1.0498008563793764,0.7750562463920103
Southcanyon,SC,20231020,25,10,1,1,-0.5199864018241811,-0.011894496092383194,22.00614314,-0.3035235235879081,0.668900005095375,0.071400727634095107,1.0296715600348456
Southcanyon,SC,20231020,25,11,1,1,0.3212879075131027,1.1581950952560438,23.05849577,0.09252873944335979,-0.2921530249043406,0.6550653166506484,-1.194539209115213
Southcanyon,SC,20231020,25,12,1,3,-0.37687388445809666,0.20484914747830082,21.11889356,-0.2981031096275135,0.0024539318892407755,-0.013065653523108242,-0.1300250266341027
Southcanyon,SC,20231020,25,13,1,2,-0.4968044931151344,-0.33429349858160023,18.14713581,-0.44358344518979104,0.21962134953900989,0.18324044264773312,0.264310813737759
Southcanyon,SC,20231020,25,14,1,2,-0.338254772306377,-0.1512145811897408,21.36224888,-0.2871800722850846,1.390077522565583,-0.06355784484694069,2.0662820319799793
Southcanyon,SC,20231020,25,15,3,5,-0.37004491382989113,1.4118869823787041,24.29984432,0.6248555432484812,2.100861040847854,-1.7485876423661815,2.5749863888559084
Southcanyon,SC,20231020,25,16,1,3,-0.2663585180570168,0.7015370921038591,22.62485862,-0.0918032942417425,-0.06624946437598433,-0.22876697505452998,-0.16769460915193327
Southcanyon,SC,20231020,25,17,1,3,-0.2807975732324948,1.0851380446594252,23.7547738,0.38749555034978567,0.07310659014140307,-1.3291620497567456,0.11562662181361982
